Kabupaten/Kota,Produk Domestik Bruto/Produk Domestik Regional Bruto Atas Dasar Harga Konstan 2010 (miliar rupiah) (Billion Rp)
Kepulauan Seribu,3586.89
Kota Jakarta Selatan,451772.69
Kota Jakarta Timur,329546.33
Kota Jakarta Pusat,481954.45
Kota Jakarta Barat,345619.56
Kota Jakarta Utara,350233.72
