Province/Regency/City,,,
,[New Method] Human Development Index,,
,2019,2020,2021
ACEH,71.9,71.99,72.18
Simeulue,65.7,66.03,66.41
Aceh Singkil,68.91,68.94,69.22
Aceh Selatan,66.9,67.12,67.44
Aceh Tenggara,69.36,69.37,69.44
Aceh Timur,67.39,67.63,67.83
Aceh Tengah,73.14,73.24,73.37
Aceh Barat,71.22,71.38,71.67
Aceh Besar,73.55,73.56,73.58
Pidie,70.41,70.63,70.7
Bireuen,72.27,72.28,72.33
Aceh Utara,69.22,69.33,69.46
Aceh Barat Daya,66.56,66.75,66.99
Gayo Lues,66.87,67.22,67.56
Aceh Tamiang,69.23,69.24,69.48
Nagan Raya,69.11,69.18,69.31
Aceh Jaya,69.74,69.75,69.84
Bener Meriah,72.97,72.98,73.27
Pidie Jaya,72.87,73.2,73.6
Kota Banda Aceh,85.07,85.41,85.71
Kota Sabang,75.77,75.78,76.11
Kota Langsa,77.16,77.17,77.44
Kota Lhokseumawe,77.3,77.31,77.57
Kota Subulussalam,64.46,64.93,65.27
SUMATERA UTARA,71.74,71.77,72
Nias,61.65,61.93,62.74
Mandailing Natal,66.52,66.79,67.19
Tapanuli Selatan,69.75,70.12,70.33
Tapanuli Tengah,68.86,69.23,69.61
Tapanuli Utara,73.33,73.47,73.76
Toba Samosir / Toba,74.92,75.16,75.39
Labuhan Batu,71.94,72.01,72.09
Asahan,69.92,70.29,70.49
Simalungun,72.98,73.25,73.4
Dairi,71.42,71.57,71.84
Karo,74.25,74.43,74.83
Deli Serdang,75.43,75.44,75.53
Langkat,70.76,71,71.35
Nias Selatan,61.59,61.89,62.35
Humbang Hasundutan,68.83,68.87,69.41
Pakpak Bharat,67.47,67.59,67.94
Samosir,70.55,70.63,70.83
Serdang Bedagai,70.21,70.24,70.56
Batu Bara,68.35,68.36,68.58
Padang Lawas Utara,69.29,69.85,70.11
Padang Lawas,68.16,68.25,68.64
Labuhan Batu Selatan,71.39,71.4,71.69
Labuhan Batu Utara,71.43,71.61,71.87
Nias Utara,61.98,62.36,62.82
Nias Barat,61.14,61.51,61.99
Kota Sibolga,73.41,73.63,73.94
Kota Tanjung Balai,68.51,68.65,68.94
Kota Pematang Siantar,78.57,78.75,79.17
Kota Tebing Tinggi,75.08,75.17,75.42
Kota Medan,80.97,80.98,81.21
Kota Binjai,75.89,75.89,76.01
Kota Padangsidimpuan,75.06,75.22,75.48
Kota Gunungsitoli,69.3,69.31,69.61
SUMATERA BARAT,72.39,72.38,72.65
Kepulauan Mentawai,61.26,61.09,61.35
Pesisir Selatan,70.08,69.9,70.03
Solok,69.08,69.08,69.24
Sijunjung,67.66,67.74,67.86
Tanah Datar,72.14,72.33,72.46
Padang Pariaman,70.59,70.61,70.76
Agam,72.37,72.46,72.57
Lima Puluh Kota,69.67,69.47,69.68
Pasaman,66.46,66.64,66.77
Solok Selatan,68.94,69.04,69.23
Dharmasraya,71.52,71.51,71.76
Pasaman Barat,68.21,68.49,68.76
Kota Padang,82.68,82.82,82.9
Kota Solok,78.38,78.29,78.41
Kota Sawah Lunto,72.39,72.64,72.88
Kota Padang Panjang,78,77.93,77.97
Kota Bukittinggi,80.71,80.58,80.7
Kota Payakumbuh,78.95,78.9,79.08
Kota Pariaman,76.7,76.9,77.07
RIAU,73,72.71,72.94
Kuantan Singingi,70.78,70.31,70.6
Indragiri Hulu,70.05,69.83,70.01
Indragiri Hilir,66.84,66.54,66.63
Pelalawan,71.85,71.56,72.08
Siak,74.07,73.68,73.98
Kampar,73.15,72.83,73.02
Rokan Hulu,69.93,69.38,69.67
Bengkalis,73.44,73.46,73.58
Rokan Hilir,69.4,69.15,69.34
