Province/Regency/City,,,
,[New Method] Life Expectancy at Birth (Year),,
Bangka Tengah,71.16,71.36,71.52
Bangka Selatan,67.9,68.16,68.35
Belitung Timur,71.9,72.03,72.1
Kota Pangkal Pinang,73.17,73.3,73.41
KEPULAUAN RIAU,69.8,69.96,70.12
Karimun,70.71,70.91,71.11
Bintan,70.3,70.38,70.46
Natuna,64.81,65.06,65.31
Lingga,61.75,62.06,62.39
Kepulauan Anambas,67.06,67.21,67.36
Kota Batam,73.29,73.33,73.36
Kota Tanjung Pinang,72.02,72.1,72.18
DKI JAKARTA,72.79,72.91,73.01
Kep. Seribu,68.51,68.76,68.99
Kota Jakarta Selatan,74.03,74.12,74.2
Kota Jakarta Timur,74.37,74.47,74.54
Kota Jakarta Pusat,74.02,74.11,74.19
Kota Jakarta Barat,73.54,73.62,73.69
Kota Jakarta Utara,73.18,73.28,73.35
JAWA BARAT,72.85,73.04,73.23
Bogor,71.01,71.17,71.36
Sukabumi,70.73,70.97,71.21
Cianjur,69.91,70.13,70.32
Bandung,73.4,73.53,73.72
Garut,71.22,71.41,71.59
Tasikmalaya,69.21,69.47,69.67
Ciamis,71.57,71.83,72.02
Kuningan,73.35,73.59,73.78
Cirebon,71.82,71.99,72.18
Majalengka,69.97,70.27,70.46
Sumedang,72.29,72.43,72.62
Indramayu,71.37,71.63,71.84
Subang,72.13,72.35,72.58
Purwakarta,70.8,70.99,71.18
Karawang,71.98,72.15,72.33
Bekasi,73.56,73.68,73.81
Bandung Barat,72.18,72.34,72.52
Pangandaran,71.12,71.4,71.6
Kota Bogor,73.41,73.61,73.82
Kota Sukabumi,72.26,72.42,72.58
Kota Bandung,74.14,74.28,74.46
Kota Cirebon,72.13,72.26,72.44
Kota Bekasi,74.89,75.01,75.19
Kota Depok,74.31,74.44,74.62
Kota Cimahi,73.89,74.03,74.21
Kota Tasikmalaya,71.93,72.15,72.34
Kota Banjar,70.79,70.99,71.19
JAWA TENGAH,74.23,74.37,74.47
Cilacap,73.52,73.73,73.9
Banyumas,73.55,73.72,73.8
Purbalingga,73.02,73.14,73.21
Banjarnegara,74.01,74.18,74.28
Kebumen,73.22,73.4,73.55
Purworejo,74.52,74.72,74.87
Wonosobo,71.6,71.82,71.94
Magelang,73.56,73.72,73.88
Boyolali,75.83,75.95,76.03
Klaten,76.68,76.78,76.86
Sukoharjo,77.55,77.65,77.73
Wonogiri,76.07,76.16,76.28
Karanganyar,77.38,77.47,77.55
Sragen,75.62,75.71,75.79
Grobogan,74.61,74.75,74.84
Blora,74.23,74.41,74.51
Rembang,74.43,74.55,74.61
Pati,76.04,76.22,76.27
Kudus,76.5,76.6,76.68
Jepara,75.74,75.84,75.91
Demak,75.31,75.4,75.46
Semarang,75.63,75.73,75.79
Temanggung,75.48,75.58,75.64
Kendal,74.33,74.43,74.48
Batang,74.59,74.69,74.74
Pekalongan,73.57,73.69,73.74
Pemalang,73.22,73.4,73.53
Tegal,71.4,71.6,71.72
Brebes,69.04,69.33,69.54
Kota Magelang,76.75,76.85,76.93
Kota Surakarta,77.12,77.22,77.32
Kota Salatiga,77.22,77.4,77.55
Kota Semarang,77.25,77.34,77.51
Kota Pekalongan,74.28,74.38,74.44
Kota Tegal,74.34,74.46,74.54
D I YOGYAKARTA,74.92,74.99,75.04
Kulon Progo,75.2,75.24,75.27
Bantul,73.77,73.86,73.89
Gunung Kidul,74.03,74.12,74.19
Sleman,74.77,74.81,74.92
Kota Yogyakarta,74.56,74.65,74.76
JAWA TIMUR,71.18,71.3,71.38
Pacitan,71.77,71.94,72.07
Ponorogo,72.65,72.77,72.85
Trenggalek,73.59,73.75,73.86
Tulungagung,73.95,74.08,74.16
Blitar,73.39,73.52,73.61
Kediri,72.54,72.61,72.65
Malang,72.45,72.55,72.61
Lumajang,69.94,70.1,70.21
Jember,68.99,69.15,69.28
Banyuwangi,70.54,70.65,70.72
Bondowoso,66.55,66.74,66.89
Situbondo,68.97,69.13,69.24
Probolinggo,67,67.2,67.36
Pasuruan,70.17,70.23,70.25
Sidoarjo,73.98,74.04,74.06
Mojokerto,72.43,72.53,72.59
Jombang,72.27,72.4,72.49
Nganjuk,71.44,71.54,71.6
Madiun,71.22,71.38,71.5
Magetan,72.49,72.59,72.65
Ngawi,72.16,72.3,72.41
Bojonegoro,71.36,71.56,71.72
Tuban,71.26,71.43,71.56
Lamongan,72.27,72.4,72.49
Gresik,72.61,72.66,72.67
Bangkalan,70.11,70.18,70.22
Sampang,67.96,68.03,68.07
Pamekasan,67.45,67.58,67.67
Sumenep,71.22,71.41,71.56
Kota Kediri,73.96,74.02,74.04
Kota Blitar,73.6,73.75,73.86
Kota Malang,73.15,73.27,73.36
Kota Probolinggo,70.19,70.29,70.35
Kota Pasuruan,71.4,71.52,71.6
Kota Mojokerto,73.21,73.32,73.39
Kota Madiun,72.75,72.81,72.83
Kota Surabaya,74.13,74.18,74.18
Kota Batu,72.54,72.61,72.65
BANTEN,69.84,69.96,70.02
Pandeglang,64.49,64.66,64.79
Lebak,67.04,67.21,67.33
Tangerang,69.79,69.89,69.93
Serang,64.47,64.64,64.76
Kota Tangerang,71.57,71.6,71.6
Kota Cilegon,66.6,66.67,66.69
Kota Serang,67.83,68,68.12
Kota Tangerang Selatan,72.41,72.47,72.47
BALI,71.99,72.13,72.24
Jembrana,72.21,72.35,72.46
Tabanan,73.53,73.65,73.75
Badung,74.99,75.1,75.18
Gianyar,73.56,73.68,73.78
Klungkung,71.06,71.25,71.41
Bangli,70.37,70.52,70.62
Karangasem,70.35,70.47,70.56
Buleleng,71.68,71.83,71.95
Kota Denpasar,74.68,74.82,74.93
NUSA TENGGARA BARAT,66.28,66.51,66.69
Lombok Barat,66.64,66.94,67.19
Lombok Tengah,65.99,66.21,66.38
Lombok Timur,65.74,65.97,66.16
Sumbawa,67.31,67.54,67.73
Dompu,66.6,66.82,66.99
Bima,66.11,66.33,66.5
Sumbawa Barat,67.8,68.07,68.31
Lombok Utara,66.92,67.17,67.36
Kota Mataram,71.59,71.76,71.88
Kota Bima,70.2,70.38,70.5
NUSA TENGGARA TIMUR,66.85,67.01,67.15
Sumba Barat,66.98,67.08,67.12
Sumba Timur,64.94,65.13,65.16
Kupang,64.39,64.63,64.91
Timor Tengah Selatan,66.32,66.42,66.46
Timor Tengah Utara,66.86,66.96,67.09
Belu,64.35,64.61,64.89
Alor,61.29,61.48,61.64
Lembata,66.97,67.07,67.2
Flores Timur,65.1,65.2,65.31
Sikka,67.07,67.24,67.45
Ende,65.17,65.29,65.43
Ngada,67.96,68.04,68.12
Manggarai,66.77,67.03,67.11
Rote Ndao,64.34,64.6,64.88
Manggarai Barat,67.12,67.38,67.46
Sumba Tengah,68.32,68.38,68.42
Sumba Barat Daya,68.43,68.53,68.57
Nagekeo,67.03,67.13,67.25
Manggarai Timur,67.98,68.04,68.07
Sabu Raijua,60.23,60.64,60.66
Malaka,64.89,64.97,65.01
Kota Kupang,69.37,69.55,69.73
KALIMANTAN BARAT,70.56,70.69,70.76
Sambas,68.83,68.93,69.08
Bengkayang,73.67,73.83,73.84
Landak,72.7,72.84,73.04
Mempawah,70.9,71.04,71.18
Sanggau,71.35,71.42,71.42
Ketapang,71.01,71.1,71.11
Sintang,71.62,71.71,71.84
Kapuas Hulu,72.44,72.52,72.53
Sekadau,71.65,71.84,72.05
Melawi,72.88,72.97,72.98
Kayong Utara,68.11,68.28,68.48
Kubu Raya,70.43,70.59,70.69
Kota Pontianak,72.8,72.96,73.12
Kota Singkawang,71.85,72.06,72.18
KALIMANTAN TENGAH,69.69,69.74,69.79
Kotawaringin Barat,70.51,70.59,70.68
Kotawaringin Timur,69.8,69.85,69.9
Kapuas,68.69,68.74,68.78
Barito Selatan,66.99,67.09,67.19
Barito Utara,71.29,71.3,71.3
Sukamara,71.49,71.53,71.56
Lamandau,69.34,69.36,69.39
Seruyan,69.25,69.26,69.26
Katingan,65.7,65.78,65.87
Pulang Pisau,67.98,68.04,68.1
Gunung Mas,70.32,70.4,70.46
Barito Timur,68.14,68.22,68.31
Murung Raya,69.47,69.51,69.53
Kota Palangka Raya,73.19,73.21,73.24
KALIMANTAN SELATAN,68.49,68.66,68.83
Tanah Laut,69.31,69.45,69.59
Kotabaru,69.1,69.21,69.32
Banjar,66.97,67.21,67.41
Barito Kuala,65.88,66.09,66.27
Tapin,70.23,70.4,70.57
Hulu Sungai Selatan,65.82,65.97,66.12
Hulu Sungai Tengah,65.82,66.01,66.2
Hulu Sungai Utara,63.58,63.83,64.1
Tabalong,70.33,70.44,70.57
Tanah Bumbu,70.08,70.34,70.45
Balangan,67.59,67.72,67.85
Kota Banjarmasin,70.98,71.13,71.29
Kota Banjar Baru,71.87,71.99,72.1
KALIMANTAN TIMUR,74.22,74.33,74.61
Paser,72.52,72.62,72.88
Kutai Barat,72.79,72.86,73.1
Kutai Kartanegara,72.21,72.34,72.64
Kutai Timur,73.03,73.16,73.46
Berau,71.94,72.06,72.32
Penajam Paser Utara,71.3,71.41,71.68
Mahakam Ulu,71.9,72.1,72.33
Kota Balikpapan,74.41,74.49,74.76
Kota Samarinda,74.17,74.27,74.54
Kota Bontang,74.18,74.28,74.55
KALIMANTAN UTARA,72.54,72.59,72.65
Malinau,71.42,71.45,71.49
Bulungan,72.6,72.66,72.74
Tana Tidung,71.38,71.42,71.49
Nunukan,71.3,71.34,71.4
Kota Tarakan,73.92,73.97,74.04
SULAWESI UTARA,71.58,71.69,71.76
Bolaang Mongondow,69.22,69.36,69.45
Minahasa,70.98,71.08,71.16
Kepulauan Sangihe,69.96,70.1,70.18
Kepulauan Talaud,70.04,70.16,70.24
Minahasa Selatan,69.8,69.92,70.01
Minahasa Utara,71.31,71.38,71.4
Bolaang Mongondow Utara,67.54,67.66,67.73
Siau Tagulandang Biaro,70.54,70.73,70.87
Minahasa Tenggara,70.07,70.15,70.21
Bolaang Mongondow Selatan,64.45,64.49,64.49
Bolaang Mongondow Timur,67.81,67.89,67.94
Kota Manado,71.8,71.87,71.9
Kota Bitung,71,71.07,71.1
Kota Tomohon,71.79,71.93,72.06
Kota Kotamobagu,70.33,70.47,70.6
SULAWESI TENGAH,68.23,68.69,68.83
Banggai Kepulauan,65.71,66.31,66.59
Banggai,70.61,70.88,70.88
Morowali,68.82,69.18,69.23
Poso,70.85,71.18,71.19
Donggala,66.85,67.33,67.5
Toli-Toli,65.3,65.9,66.18
Buol,68.17,68.76,69.05
Parigi Moutong,63.94,64.3,64.35
Tojo Una-Una,65.14,65.67,65.9
Sigi,69.57,69.99,70.09
Banggai Laut,64.79,65.38,65.67
Morowali Utara,69.19,69.61,69.71
Kota Palu,70.68,71.04,71.09
SULAWESI SELATAN,70.43,70.57,70.66
Kepulauan Selayar,68.34,68.46,68.52
Bulukumba,67.69,67.92,68.1
Bantaeng,70.42,70.54,70.6
Jeneponto,66.24,66.39,66.49
Takalar,67.01,67.18,67.3
Gowa,70.37,70.43,70.45
Sinjai,67.17,67.3,67.38
Maros,68.98,69.02,69.04
Pangkajene dan Kepulauan,66.49,66.66,66.78
Barru,68.91,69.02,69.07
Bone,66.88,67.07,67.21
Soppeng,69.43,69.65,69.81
Wajo,67.17,67.35,67.48
Sidenreng Rappang,69.59,69.83,70.01
Pinrang,69.39,69.61,69.77
Enrekang,70.83,70.91,70.93
Luwu,70.19,70.34,70.44
Tana Toraja,73.15,73.3,73.4
Luwu Utara,68.31,68.51,68.67
Luwu Timur,70.38,70.53,70.63
Toraja Utara,73.35,73.39,73.41
Kota Makasar,72,72.09,72.13
Kota Parepare,71.18,71.27,71.31
Kota Palopo,70.79,70.88,70.92
SULAWESI TENGGARA,70.97,71.22,71.27
Buton,67.92,68.25,68.39
Muna,70.18,70.39,70.41
Konawe,70.02,70.27,70.32
Kolaka,70.72,71.06,71.21
Konawe Selatan,70.52,70.8,70.87
Bombana,68.54,68.91,69.09
Wakatobi,70.13,70.41,70.48
Kolaka Utara,70.15,70.36,70.36
Buton Utara,70.75,70.93,70.93
Konawe Utara,69.23,69.51,69.53
Kolaka Timur,72.33,72.67,72.82
Konawe Kepulauan,68.25,68.43,68.43
Muna Barat,70.16,70.34,70.35
Buton Tengah,67.5,67.66,67.69
Buton Selatan,67.5,67.66,67.69
Kota Kendari,73.52,73.77,73.83
Kota Baubau,70.95,71.19,71.25
GORONTALO,67.93,68.07,68.19
Boalemo,68.83,69.07,69.3
Gorontalo,67.45,67.58,67.69
Pohuwato,63.83,64.07,64.3
Bone Bolango,68.38,68.46,68.52
Gorontalo Utara,65.79,65.87,65.93
Kota Gorontalo,72.42,72.49,72.53
SULAWESI BARAT,64.82,65.06,65.25
Majene,61.3,61.56,61.77
Polewali Mandar,62.18,62.38,62.53
Mamasa,70.75,70.87,70.94
Mamuju,67.23,67.52,67.77
Mamuju Utara / Pasangkayu,65.91,66.2,66.45
Mamuju Tengah,68.06,68.33,68.55
MALUKU,65.82,65.98,66.09
Maluku Tenggara Barat / Kepulauan Tanimbar,63.34,63.42,63.45
Maluku Tenggara,64.95,65.07,65.14
Maluku Tengah,66.34,66.42,66.45
Buru,66.32,66.41,66.44
Kepulauan Aru,62.73,62.87,62.96
Seram Bagian Barat,61.48,61.69,61.85
Seram Bagian Timur,59.16,59.41,59.62
Maluku Barat Daya,62.16,62.38,62.55
Buru Selatan,66.13,66.27,66.36
Kota Ambon,70.35,70.52,70.63
Kota Tual,65.21,65.47,65.68
MALUKU UTARA,68.18,68.33,68.45
Halmahera Barat,66.13,66.25,66.34
Halmahera Tengah,63.65,63.91,64.15
Kepulauan Sula,63.18,63.3,63.39
Halmahera Selatan,65.75,65.86,65.93
Halmahera Utara,69.47,69.56,69.61
Halmahera Timur,68.64,68.88,69.08
Pulau Morotai,66.99,67.18,67.35
Pulau Taliabu,61.95,62.1,62.22
Kota Ternate,70.85,70.97,71.06
Kota Tidore Kepulauan,69.22,69.34,69.43
PAPUA BARAT,65.9,66.02,66.14
Fakfak,68.41,68.47,68.5
Kaimana,64.64,64.81,64.93
Teluk Wondama,59.93,60.1,60.24
Teluk Bintuni,60.6,60.83,60.99
Manokwari,68.56,68.68,68.82
Sorong Selatan,66.15,66.25,66.39
Sorong,66.02,66.1,66.22
Raja Ampat,64.7,64.74,64.83
Tambrauw,59.96,60.13,60.2
Maybrat,65.17,65.19,65.25
Manokwari Selatan,67.48,67.58,67.6
Pegunungan Arfak,67.18,67.24,67.26
Kota Sorong,70.46,70.7,70.93
PAPUA BARAT DAYA,-,-,-
Raja Ampat,-,-,-
Sorong,-,-,-
Sorong Selatan,-,-,-
Maybrat,-,-,-
Tambrauw,-,-,-
Kota Sorong,-,-,-
PAPUA,65.65,65.79,65.93
Merauke,66.93,67,67.07
Jayawijaya,59.39,59.64,59.9
Jayapura,66.93,67.05,67.16
Nabire,67.97,68.06,68.15
Kepulauan Yapen,69.06,69.12,69.17
Biak Numfor,68.2,68.25,68.29
Paniai,66.27,66.44,66.62
Puncak Jaya,64.98,65.15,65.33
Mimika,72.27,72.32,72.36
Boven Digoel,59.64,59.97,60.32
Mappi,64.91,65.11,65.31
