Province/Regency/City,,,
,[New Method] Human Development Index,,
Bangka Selatan,67.95,68.51,68.86
Belitung Timur,72.29,72.86,73.19
Kota Pangkal Pinang,79.24,79.93,80.4
KEPULAUAN RIAU,76.46,77.11,77.97
Karimun,72.65,73.51,74.28
Bintan,74.99,75.7,76.18
Natuna,73.47,74.21,74.56
Lingga,66.57,67.44,68.19
Kepulauan Anambas,69.61,70.26,70.93
Kota Batam,81.67,82.11,82.86
Kota Tanjung Pinang,79.64,80.23,80.63
DKI JAKARTA,81.65,82.46,83.08
Kep. Seribu,72.79,73.39,74.17
Kota Jakarta Selatan,85.21,86.07,86.94
Kota Jakarta Timur,83.45,84.13,84.65
Kota Jakarta Pusat,82.11,82.53,83.01
Kota Jakarta Barat,82.51,83.02,83.64
Kota Jakarta Utara,80.81,81.11,81.39
JAWA BARAT,73.12,73.74,74.43
Bogor,71.2,71.78,72.39
Sukabumi,67.64,68.49,68.97
Cianjur,65.94,66.55,67.24
Bandung,73.16,73.74,74.27
Garut,67.41,68.11,68.79
Tasikmalaya,66.84,67.76,68.36
Ciamis,71.45,72.05,72.56
Kuningan,70.16,70.72,71.26
Cirebon,70.06,70.95,71.44
Majalengka,68.56,69.13,69.74
Sumedang,72.69,73.18,73.73
Indramayu,68.55,69.25,69.83
Subang,69.87,70.7,71.36
Purwakarta,71.56,72.09,72.65
Karawang,71.74,72.35,72.9
Bekasi,75.22,75.76,76.44
Bandung Barat,69.04,69.61,70.03
Pangandaran,69.03,69.38,69.85
Kota Bogor,77.17,77.85,78.52
Kota Sukabumi,75.4,76.32,76.85
Kota Bandung,82.5,83.04,83.52
Kota Cirebon,75.89,76.46,77.08
Kota Bekasi,82.46,83.03,83.54
Kota Depok,81.86,82.38,82.91
Kota Cimahi,78.77,79.46,80.08
Kota Tasikmalaya,73.83,74.47,75.04
Kota Banjar,72.55,73.08,73.64
JAWA TENGAH,72.79,73.39,73.88
Cilacap,70.99,71.83,72.38
Banyumas,73.17,73.86,74.52
Purbalingga,69.54,70.24,70.69
Banjarnegara,68.61,69.14,69.6
Kebumen,70.79,71.37,71.93
Purworejo,73.6,74.28,75.11
Wonosobo,68.89,69.37,69.82
Magelang,70.85,71.45,71.99
Boyolali,74.97,75.41,75.96
Klaten,76.95,77.59,78.16
Sukoharjo,77.94,78.65,79.3
Wonogiri,71.04,71.97,72.55
Karanganyar,76.58,77.31,78.11
Sragen,74.65,75.1,75.53
Grobogan,70.97,71.49,72.02
Blora,69.95,70.63,71.39
Rembang,71,71.89,72.53
Pati,73.14,73.59,74.1
Kudus,75.89,76.71,77.22
Jepara,73.15,73.85,74.32
Demak,73.36,74.07,74.57
Semarang,74.67,75.13,75.67
Temanggung,70.77,71.33,71.87
Kendal,73.19,73.86,74.34
Batang,69.45,70.2,70.74
Pekalongan,70.81,71.4,71.84
Pemalang,67.19,68.03,68.55
Tegal,69.53,70.23,70.77
Brebes,67.03,67.95,68.46
Kota Magelang,80.39,81.17,82.15
Kota Surakarta,83.08,83.54,84.4
Kota Salatiga,84.35,84.99,85.72
Kota Semarang,84.08,84.43,85.25
Kota Pekalongan,75.9,76.71,77.22
Kota Tegal,76.15,77.02,77.43
D I YOGYAKARTA,80.64,81.07,81.55
Kulon Progo,75.46,75.79,76.14
Bantul,80.69,81.39,81.74
Gunung Kidul,70.96,71.24,71.89
Sleman,84.31,84.77,85.61
Kota Yogyakarta,87.69,88.28,88.77
JAWA TIMUR,72.75,73.38,74.09
Pacitan,69.37,70.19,70.74
Ponorogo,71.87,72.5,73.01
Trenggalek,71,71.73,72.24
Tulungagung,74.06,74.61,75.09
Blitar,71.86,72.49,73.09
Kediri,73.46,73.96,74.44
Malang,71.38,72.16,72.68
Lumajang,66.95,67.87,68.8
Jember,67.97,68.64,69.15
Banyuwangi,71.94,72.61,73.11
Bondowoso,67.31,67.99,68.65
Situbondo,68.25,69.16,69.75
Probolinggo,66.96,67.79,68.29
Pasuruan,69.68,70.29,70.73
Sidoarjo,81.02,81.55,82.31
Mojokerto,74.89,75.53,75.98
Jombang,74.05,74.6,75.1
Nganjuk,72.93,73.71,74.23
Madiun,72.39,72.97,73.74
Magetan,74.85,75.41,75.87
Ngawi,71.75,72.47,73.09
Bojonegoro,70.12,70.85,71.78
Tuban,69.67,70.34,71.23
Lamongan,74.02,74.53,75.13
Gresik,77.16,77.98,78.45
Bangkalan,65.05,65.75,66.27
Sampang,63.39,64.13,64.65
Pamekasan,66.99,67.96,68.49
Sumenep,67.87,68.61,69.26
Kota Kediri,79.59,80.44,81.35
Kota Blitar,79.93,80.63,81.27
Kota Malang,82.71,83.39,84.06
Kota Probolinggo,74.56,75.43,76.27
Kota Pasuruan,76.54,77.17,77.75
Kota Mojokerto,79.32,80.07,80.92
Kota Madiun,82.01,82.71,83.48
Kota Surabaya,82.74,83.45,84.14
Kota Batu,77.22,78.18,78.79
BANTEN,73.32,73.87,74.48
Pandeglang,65.84,66.42,66.99
Lebak,64.71,65.21,65.86
Tangerang,72.97,73.43,74.09
Serang,67.75,68.39,69.03
Kota Tangerang,78.9,79.46,80.02
Kota Cilegon,73.95,74.54,75.14
Kota Serang,72.98,73.48,73.99
Kota Tangerang Selatan,81.95,82.28,82.89
BALI,76.44,77.1,77.76
Jembrana,73.58,74.04,74.6
Tabanan,76.75,77.43,78.42
Badung,82.13,83.08,83.87
Gianyar,78.39,79.24,79.82
Klungkung,72.55,73.11,74.04
Bangli,70.26,70.79,71.34
Karangasem,68.28,68.91,69.74
Buleleng,73.45,73.97,74.52
Kota Denpasar,84.37,84.73,85.22
NUSA TENGGARA BARAT,69.46,70.2,70.93
Lombok Barat,69.41,70.15,70.67
Lombok Tengah,67.57,68.4,69.17
Lombok Timur,67.59,68.41,69.23
Sumbawa,68.89,69.87,70.55
Dompu,69.15,69.98,70.78
Bima,67.57,68.28,68.94
Sumbawa Barat,72.65,73.17,73.86
Lombok Utara,65.7,66.62,67.24
Kota Mataram,79.59,80.09,80.6
Kota Bima,76.84,77.36,78.04
NUSA TENGGARA TIMUR,65.9,66.68,67.39
Sumba Barat,64.43,65.22,66.06
Sumba Timur,66.17,67.05,67.68
Kupang,65.04,65.82,66.57
Timor Tengah Selatan,62.73,63.58,64.36
Timor Tengah Utara,64.26,65.16,65.83
Belu,63.22,63.83,64.43
Alor,62.26,62.99,63.82
Lembata,65.47,66.12,66.62
Flores Timur,64.93,65.79,66.29
Sikka,66.06,66.89,67.41
Ende,67.97,68.63,69.11
Ngada,68.26,69.14,69.52
Manggarai,65.83,66.42,67.28
Rote Ndao,63.21,64,64.59
Manggarai Barat,64.92,65.81,66.65
Sumba Tengah,62.71,63.48,64.31
Sumba Barat Daya,63.15,63.74,64.27
Nagekeo,66.22,67.07,67.72
Manggarai Timur,62.3,63.24,64.2
Sabu Raijua,57.9,58.89,59.58
Malaka,61.34,62.06,62.73
Kota Kupang,80.2,80.62,81.08
KALIMANTAN BARAT,68.63,69.41,70.13
Sambas,67.95,68.69,69.31
Bengkayang,68.74,69.53,70.3
Landak,67.17,68.14,69.08
Mempawah,66.94,67.92,68.56
Sanggau,66.91,67.77,68.43
Ketapang,67.92,68.68,69.42
Sintang,67.86,68.67,69.42
Kapuas Hulu,66.7,67.67,68.58
Sekadau,65.58,66.33,67.25
Melawi,66.81,67.76,68.66
Kayong Utara,63.81,64.79,65.74
Kubu Raya,68.91,69.6,70.25
Kota Pontianak,80.48,81.03,81.57
Kota Singkawang,72.89,73.39,73.87
KALIMANTAN TENGAH,71.63,72.2,72.73
Kotawaringin Barat,73.41,74.04,74.44
Kotawaringin Timur,71.67,72.21,72.66
Kapuas,70.01,70.75,71.32
Barito Selatan,71.01,71.65,72.36
Barito Utara,71.21,71.84,72.31
Sukamara,68.94,69.44,69.85
Lamandau,71.11,71.81,72.25
Seruyan,68.24,68.68,69.05
Katingan,69.74,70.28,70.7
Pulang Pisau,69.01,69.6,70.27
Gunung Mas,71.4,72.09,72.73
Barito Timur,72.07,72.7,73.26
Murung Raya,68.63,69.42,70.03
Kota Palangka Raya,81.16,81.68,82.2
KALIMANTAN SELATAN,71.84,72.5,73.03
Tanah Laut,70.35,70.98,71.43
Kotabaru,69.74,70.18,70.61
Banjar,70.72,71.46,71.87
Barito Kuala,67.37,68.11,68.84
Tapin,71.02,72,72.51
Hulu Sungai Selatan,69.76,70.5,71.21
Hulu Sungai Tengah,69.7,70.13,70.69
Hulu Sungai Utara,66.84,67.66,68.28
Tabalong,73.13,73.85,74.41
Tanah Bumbu,71.79,72.31,72.95
Balangan,69.73,70.49,71.34
Kota Banjarmasin,77.97,78.5,79.05
Kota Banjar Baru,79.68,80.11,80.51
KALIMANTAN TIMUR,77.44,78.2,78.83
Paser,73.44,74.14,74.7
Kutai Barat,72.92,73.72,74.5
Kutai Kartanegara,74.67,75.3,75.91
Kutai Timur,74.35,74.98,75.53
Berau,75.74,76.21,76.66
Penajam Paser Utara,72.55,73.3,73.9
Mahakam Ulu,68.75,69.59,70.35
Kota Balikpapan,81.13,81.66,82.24
Kota Samarinda,81.43,82.32,82.81
Kota Bontang,80.94,81.56,82.42
KALIMANTAN UTARA,71.83,72.49,73.02
Malinau,72.75,73.19,73.9
Bulungan,72.08,72.72,73.34
Tana Tidung,68.6,69.2,70.08
Nunukan,67.16,67.7,68.52
Kota Tarakan,76.68,77.53,77.96
SULAWESI UTARA,73.81,74.36,75.03
Bolaang Mongondow,68.95,69.62,70.29
Minahasa,76.18,76.96,77.74
Kepulauan Sangihe,71.63,72.22,72.71
Kepulauan Talaud,70.43,71.14,71.77
Minahasa Selatan,72.89,73.66,74.17
Minahasa Utara,74.69,75.31,75.89
Bolaang Mongondow Utara,68.06,68.64,69.32
Siau Tagulandang Biaro,68.94,69.57,70.31
Minahasa Tenggara,71.48,71.93,72.66
Bolaang Mongondow Selatan,65.9,66.4,67.14
Bolaang Mongondow Timur,67.21,67.95,68.53
Kota Manado,79.66,80.14,80.63
Kota Bitung,74.7,75.11,75.71
Kota Tomohon,77.44,78.1,78.89
Kota Kotamobagu,73.96,74.43,75.27
SULAWESI TENGAH,70.28,70.95,71.56
Banggai Kepulauan,66.08,66.82,67.43
Banggai,71.08,71.7,72.32
Morowali,72.55,73.02,73.54
Poso,71.93,72.48,72.87
Donggala,66.25,66.95,67.45
Toli-Toli,66.76,67.66,68.37
Buol,68.72,69.57,70.28
Parigi Moutong,66.26,67.11,67.49
Tojo Una-Una,65.54,66.39,66.97
Sigi,69.05,69.93,70.51
Banggai Laut,66.22,66.93,67.43
Morowali Utara,68.97,69.73,70.58
Kota Palu,82.02,82.52,82.88
SULAWESI SELATAN,72.82,73.46,74.05
Kepulauan Selayar,68.35,69.2,70.03
Bulukumba,70.34,71.21,71.97
Bantaeng,69.69,70.57,71.48
Jeneponto,65.13,65.9,66.38
Takalar,68.31,68.9,69.47
Gowa,70.99,71.57,72.26
Sinjai,68.33,68.92,69.52
Maros,71,71.63,72.11
Pangkajene dan Kepulauan,69.79,70.59,71.22
Barru,71.53,72.36,73.06
Bone,67.01,67.81,68.36
Soppeng,69.7,70.58,71.39
Wajo,70.26,71.1,71.52
Sidenreng Rappang,72.06,72.71,73.21
Pinrang,71.97,72.84,73.55
Enrekang,73.39,73.89,74.61
Luwu,71.36,72.16,72.79
Tana Toraja,69.88,70.73,71.67
Luwu Utara,70.51,71.34,72.07
Luwu Timur,73.92,74.35,74.95
Toraja Utara,70.36,71.23,71.85
Kota Makasar,83.12,83.52,83.9
Kota Parepare,78.54,79.03,79.64
Kota Palopo,78.91,79.45,79.94
SULAWESI TENGGARA,72.23,72.79,73.48
Buton,67.23,68.12,68.88
Muna,69.61,70.16,71.05
Konawe,72.04,72.77,73.39
Kolaka,73.98,74.72,75.18
Konawe Selatan,69.36,70.32,71.19
