Kabupaten/Kota,Produk Domestik Bruto/Produk Domestik Regional Bruto Atas Dasar Harga Konstan 2010 (miliar rupiah) (Billion Rp)
Kepulauan Seribu,3706.25
Kota Jakarta Selatan,419257.19
Kota Jakarta Timur,299515.16
Kota Jakarta Pusat,449518.14
Kota Jakarta Barat,316172.61
Kota Jakarta Utara,312100.58
