"District","Time","Age","Cases","Population"
"INDRAMAYU",2020,"5-14",111,285572
"INDRAMAYU",2021,"0-4",21,132919
"INDRAMAYU",2021,"15-44",47,923182
"INDRAMAYU",2021,"45-99",3,513387
"INDRAMAYU",2021,"5-14",123,283888
"INDRAMAYU",2022,"0-4",47,131950
"INDRAMAYU",2022,"15-44",88,934451
"INDRAMAYU",2022,"45-99",13,523710
"INDRAMAYU",2022,"5-14",222,282205
"INDRAMAYU",2023,"0-4",35,130981
"INDRAMAYU",2023,"15-44",48,945721
"INDRAMAYU",2023,"45-99",19,534034
"INDRAMAYU",2023,"5-14",116,280520
"KARAWANG",2020,"0-4",111,192111
"KARAWANG",2020,"15-44",735,1224352
"KARAWANG",2020,"45-99",54,623671
"KARAWANG",2020,"5-14",429,398951
"KARAWANG",2021,"0-4",80,190652
"KARAWANG",2021,"15-44",452,1236122
"KARAWANG",2021,"45-99",93,642332
"KARAWANG",2021,"5-14",304,399467
"KARAWANG",2022,"0-4",138,189192
"KARAWANG",2022,"15-44",659,1247895
"KARAWANG",2022,"45-99",165,660996
"KARAWANG",2022,"5-14",349,399983
"KARAWANG",2023,"0-4",143,187733
"KARAWANG",2023,"15-44",426,1259666
"KARAWANG",2023,"45-99",140,679658
"KARAWANG",2023,"5-14",282,400498
"KOTA BANDUNG",2020,"0-4",605,182116
"KOTA BANDUNG",2020,"15-44",941,1174126
"KOTA BANDUNG",2020,"45-99",233,711862
"KOTA BANDUNG",2020,"5-14",1011,376056
"KOTA BANDUNG",2021,"0-4",854,179144
"KOTA BANDUNG",2021,"15-44",1050,1159771
"KOTA BANDUNG",2021,"45-99",227,733015
"KOTA BANDUNG",2021,"5-14",1612,375436
"KOTA BANDUNG",2022,"0-4",1046,176171
"KOTA BANDUNG",2022,"15-44",1732,1145419
"KOTA BANDUNG",2022,"45-99",320,754168
"KOTA BANDUNG",2022,"5-14",2025,374816
"KOTA BANDUNG",2023,"0-4",357,173199
"KOTA BANDUNG",2023,"15-44",560,1131064
"KOTA BANDUNG",2023,"45-99",134,775321
"KOTA BANDUNG",2023,"5-14",805,374197
"KOTA BANJAR",2020,"0-4",18,15766
"KOTA BANJAR",2020,"15-44",39,93795
"KOTA BANJAR",2020,"45-99",17,61406
"KOTA BANJAR",2020,"5-14",72,30006
"KOTA BANJAR",2021,"0-4",2,15760
"KOTA BANJAR",2021,"15-44",18,95167
"KOTA BANJAR",2021,"45-99",2,62674
"KOTA BANJAR",2021,"5-14",10,29818
"KOTA BANJAR",2022,"0-4",17,15753
"KOTA BANJAR",2022,"15-44",45,96540
"KOTA BANJAR",2022,"45-99",11,63944
"KOTA BANJAR",2022,"5-14",40,29630
"KOTA BANJAR",2023,"0-4",1,15747
"KOTA BANJAR",2023,"15-44",20,97911
"KOTA BANJAR",2023,"45-99",20,65214
"KOTA BANJAR",2023,"5-14",12,29442
"KOTA BEKASI",2020,"0-4",130,198958
"KOTA BEKASI",2020,"15-44",784,1277079
"KOTA BEKASI",2020,"45-99",188,666988
"KOTA BEKASI",2020,"5-14",538,400651
"KOTA BEKASI",2021,"0-4",193,196612
"KOTA BEKASI",2021,"15-44",1009,1272770
"KOTA BEKASI",2021,"45-99",186,691909
"KOTA BEKASI",2021,"5-14",616,401140
"KOTA BEKASI",2022,"0-4",193,194266
"KOTA BEKASI",2022,"15-44",1199,1268464
"KOTA BEKASI",2022,"45-99",322,716834
"KOTA BEKASI",2022,"5-14",687,401630
"KOTA BEKASI",2023,"0-4",126,191920
"KOTA BEKASI",2023,"15-44",546,1264154
"KOTA BEKASI",2023,"45-99",169,741754
"KOTA BEKASI",2023,"5-14",379,402119
"KOTA BOGOR",2020,"0-4",35,85069
"KOTA BOGOR",2020,"15-44",55,508415
"KOTA BOGOR",2020,"45-99",17,280103
"KOTA BOGOR",2020,"5-14",128,169483
"KOTA BOGOR",2021,"0-4",117,84487
"KOTA BOGOR",2021,"15-44",150,508297
"KOTA BOGOR",2021,"45-99",20,289336
"KOTA BOGOR",2021,"5-14",239,169447
"KOTA BOGOR",2022,"0-4",280,83905
"KOTA BOGOR",2022,"15-44",528,508181
"KOTA BOGOR",2022,"45-99",113,298572
"KOTA BOGOR",2022,"5-14",600,169411
"KOTA BOGOR",2023,"0-4",300,83323
"KOTA BOGOR",2023,"15-44",489,508064
"KOTA BOGOR",2023,"45-99",139,307806
"KOTA BOGOR",2023,"5-14",546,169375
"KOTA CIMAHI",2020,"0-4",68,41982
"KOTA CIMAHI",2020,"15-44",122,279776
"KOTA CIMAHI",2020,"45-99",23,157222
"KOTA CIMAHI",2020,"5-14",171,89420
"KOTA CIMAHI",2021,"0-4",142,41012
"KOTA CIMAHI",2021,"15-44",205,277896
"KOTA CIMAHI",2021,"45-99",41,162683
"KOTA CIMAHI",2021,"5-14",310,89099
"KOTA CIMAHI",2022,"0-4",135,40041
"KOTA CIMAHI",2022,"15-44",208,276014
"KOTA CIMAHI",2022,"45-99",36,168146
"KOTA CIMAHI",2022,"5-14",283,88778
"KOTA CIMAHI",2023,"0-4",67,39071
"KOTA CIMAHI",2023,"15-44",122,274134
"KOTA CIMAHI",2023,"45-99",18,173608
"KOTA CIMAHI",2023,"5-14",143,88457
"KOTA CIREBON",2020,"0-4",17,28133
"KOTA CIREBON",2020,"15-44",65,161727
"KOTA CIREBON",2020,"45-99",13,90733
"KOTA CIREBON",2020,"5-14",76,52710
"KOTA CIREBON",2021,"0-4",14,28255
