observation_date,NGDPRSAXDCIDQ
2020-01-01,2766517.5000
2020-04-01,2576608.5000
2020-07-01,2660288.5000
2020-10-01,2719584.5000
2021-01-01,2748568.5000
2021-04-01,2760994.5000
2021-07-01,2767809.5000
2021-10-01,2842687.2500
2022-01-01,2876287.5000
2022-04-01,2910040.5000
2022-07-01,2943294.5000
2022-10-01,2980625.2500
2023-01-01,3016956.7500
2023-04-01,3056265.5000
2023-07-01,3094713.5000
2023-10-01,3133457.7500
2024-01-01,3172102.5000
2024-04-01,3210109.7500
