Kabupaten/Kota,Produk Domestik Bruto/Produk Domestik Regional Bruto Atas Dasar Harga Konstan 2010 (miliar rupiah) (Billion Rp)
Kepulauan Seribu,3648.8
Kota Jakarta Selatan,429259.25
Kota Jakarta Timur,313808.7
Kota Jakarta Pusat,459971.27
Kota Jakarta Barat,327599.16
Kota Jakarta Utara,330890.18
