Kab/Kota,,,
,The Total Area by Regency/ Municipality (Km&lt;sup&gt;2&lt;/sup&gt;),,
,2021,2022,2023
Kep Seribu,10.18,10.73,10.73
Jakarta Selatan,154.32,144.94,144.94
Jakarta Timur,182.7,185.54,185.54
Jakarta Pusat,52.38,47.56,47.56
Jakarta Barat,124.44,125,125
Jakarta Utara,139.99,147.46,147.21
DKI Jakarta,664.01,661.23,660.98
