District,Year,Life Expectancy
KOTA TIDORE KEPULAUAN,2024,70.22
PAPUA BARAT,2024,67.05
FAKFAK,2024,69.16
KAIMANA,2024,65.86
TELUK WONDAMA,2024,61.08
TELUK BINTUNI,2024,62.04
MANOKWARI,2024,69.8
SORONG SELATAN,2024,
SORONG SELATAN,2024,
SORONG,2024,
SORONG,2024,
RAJA AMPAT,2024,
RAJA AMPAT,2024,
TAMBRAUW,2024,
TAMBRAUW,2024,
MAYBRAT,2024,
MAYBRAT,2024,
MANOKWARI SELATAN,2024,68.26
PEGUNUNGAN ARFAK,2024,67.84
KOTA SORONG,2024,
KOTA SORONG,2024,
PAPUA BARAT DAYA,2024,67.85
RAJA AMPAT,2024,65.56
RAJA AMPAT,2024,65.56
SORONG,2024,67.12
SORONG,2024,67.12
SORONG SELATAN,2024,67.14
SORONG SELATAN,2024,67.14
MAYBRAT,2024,65.97
MAYBRAT,2024,65.97
TAMBRAUW,2024,61.35
TAMBRAUW,2024,61.35
KOTA SORONG,2024,71.97
KOTA SORONG,2024,71.97
PAPUA,2024,68.79
MERAUKE,2024,
MERAUKE,2024,
JAYAWIJAYA,2024,
JAYAWIJAYA,2024,
JAYAPURA,2024,68.08
NABIRE,2024,
NABIRE,2024,
KEPULAUAN YAPEN,2024,69.83
BIAK NUMFOR,2024,68.97
PANIAI,2024,
PANIAI,2024,
PUNCAK JAYA,2024,
PUNCAK JAYA,2024,
MIMIKA,2024,
MIMIKA,2024,
BOVEN DIGOEL,2024,
BOVEN DIGOEL,2024,
MAPPI,2024,
MAPPI,2024,
ASMAT,2024,
ASMAT,2024,
YAHUKIMO,2024,
YAHUKIMO,2024,
PEGUNUNGAN BINTANG,2024,
PEGUNUNGAN BINTANG,2024,
TOLIKARA,2024,
TOLIKARA,2024,
SARMI,2024,67.38
KEEROM,2024,67.44
WAROPEN,2024,67.11
SUPIORI,2024,66.93
MAMBERAMO RAYA,2024,58.71
NDUGA,2024,
NDUGA,2024,
LANNY JAYA,2024,
LANNY JAYA,2024,
MAMBERAMO TENGAH,2024,
MAMBERAMO TENGAH,2024,
YALIMO,2024,
YALIMO,2024,
PUNCAK,2024,
PUNCAK,2024,
DOGIYAI,2024,
DOGIYAI,2024,
INTAN JAYA,2024,
INTAN JAYA,2024,
DEIYAI,2024,
DEIYAI,2024,
KOTA JAYAPURA,2024,71.41
PAPUA SELATAN,2024,66.45
MERAUKE,2024,67.77
MERAUKE,2024,67.77
BOVEN DIGOEL,2024,61.21
BOVEN DIGOEL,2024,61.21
MAPPI,2024,66.01
MAPPI,2024,66.01
ASMAT,2024,59.36
ASMAT,2024,59.36
PAPUA TENGAH,2024,66.99
MIMIKA,2024,73.06
MIMIKA,2024,73.06
DOGIYAI,2024,66.5
DOGIYAI,2024,66.5
DEIYAI,2024,66.07
DEIYAI,2024,66.07
NABIRE,2024,69.02
NABIRE,2024,69.02
PANIAI,2024,67.38
PANIAI,2024,67.38
INTAN JAYA,2024,66.18
INTAN JAYA,2024,66.18
PUNCAK,2024,66.53
PUNCAK,2024,66.53
PUNCAK JAYA,2024,66.04
PUNCAK JAYA,2024,66.04
PAPUA PEGUNUNGAN,2024,64.8
NDUGA,2024,55.74
NDUGA,2024,55.74
JAYAWIJAYA,2024,60.65
JAYAWIJAYA,2024,60.65
LANNY JAYA,2024,66.62
LANNY JAYA,2024,66.62
TOLIKARA,2024,66.53
TOLIKARA,2024,66.53
MAMBERAMO TENGAH,2024,64.18
MAMBERAMO TENGAH,2024,64.18
YALIMO,2024,66.12
YALIMO,2024,66.12
YAHUKIMO,2024,66.55
YAHUKIMO,2024,66.55
PEGUNUNGAN BINTANG,2024,65.17
PEGUNUNGAN BINTANG,2024,65.17
INDONESIA,2024,72.39
ACEH,2019,69.87
SIMEULUE,2019,65.22
ACEH SINGKIL,2019,67.36
ACEH SELATAN,2019,64.27
ACEH TENGGARA,2019,68.04
ACEH TIMUR,2019,68.67
ACEH TENGAH,2019,68.82
ACEH BARAT,2019,67.93
ACEH BESAR,2019,69.77
PIDIE,2019,66.89
BIREUEN,2019,71.16
ACEH UTARA,2019,68.79
ACEH BARAT DAYA,2019,64.91
GAYO LUES,2019,65.38
ACEH TAMIANG,2019,69.52
NAGAN RAYA,2019,69.14
ACEH JAYA,2019,67.11
BENER MERIAH,2019,69.19
PIDIE JAYA,2019,70.06
KOTA BANDA ACEH,2019,71.36
KOTA SABANG,2019,70.45
KOTA LANGSA,2019,69.37
KOTA LHOKSEUMAWE,2019,71.52
KOTA SUBULUSSALAM,2019,63.94
SUMATERA UTARA,2019,68.95
NIAS,2019,69.68
MANDAILING NATAL,2019,62.51
TAPANULI SELATAN,2019,64.82
TAPANULI TENGAH,2019,67.08
TAPANULI UTARA,2019,68.46
TOBA SAMOSIR / TOBA,2019,69.93
LABUHAN BATU,2019,69.86
ASAHAN,2019,68.11
SIMALUNGUN,2019,71.07
DAIRI,2019,68.79
KARO,2019,71.27
DELI SERDANG,2019,71.61
LANGKAT,2019,68.59
NIAS SELATAN,2019,68.58
HUMBANG HASUNDUTAN,2019,69.06
PAKPAK BHARAT,2019,65.59
SAMOSIR,2019,71.16
SERDANG BEDAGAI,2019,68.46
BATU BARA,2019,66.75
PADANG LAWAS UTARA,2019,67.06
PADANG LAWAS,2019,66.98
LABUHAN BATU SELATAN,2019,68.64
LABUHAN BATU UTARA,2019,69.37
NIAS UTARA,2019,69.29
NIAS BARAT,2019,68.82
KOTA SIBOLGA,2019,68.77
KOTA TANJUNG BALAI,2019,63.02
KOTA PEMATANG SIANTAR,2019,73.33
KOTA TEBING TINGGI,2019,70.76
KOTA MEDAN,2019,72.98
KOTA BINJAI,2019,72.25
KOTA PADANGSIDIMPUAN,2019,69.15
KOTA GUNUNGSITOLI,2019,71.02
SUMATERA BARAT,2019,69.31
KEPULAUAN MENTAWAI,2019,64.68
PESISIR SELATAN,2019,70.73
SOLOK,2019,68.34
SIJUNJUNG,2019,66.02
TANAH DATAR,2019,69.73
PADANG PARIAMAN,2019,68.58
AGAM,2019,72.17
LIMA PULUH KOTA,2019,69.7
PASAMAN,2019,67.18
SOLOK SELATAN,2019,67.58
DHARMASRAYA,2019,71.1
PASAMAN BARAT,2019,67.67
KOTA PADANG,2019,73.57
KOTA SOLOK,2019,73.45
KOTA SAWAH LUNTO,2019,69.87
KOTA PADANG PANJANG,2019,72.77
KOTA BUKITTINGGI,2019,74.22
KOTA PAYAKUMBUH,2019,73.61
KOTA PARIAMAN,2019,70.15
RIAU,2019,71.48
KUANTAN SINGINGI,2019,68.44
INDRAGIRI HULU,2019,70.2
INDRAGIRI HILIR,2019,67.66
PELALAWAN,2019,71.03
SIAK,2019,71.03
KAMPAR,2019,70.64
ROKAN HULU,2019,69.89
BENGKALIS,2019,71.11
ROKAN HILIR,2019,70.17
KEPULAUAN MERANTI,2019,67.53
KOTA PEKANBARU,2019,72.22
KOTA DUMAI,2019,70.82
JAMBI,2019,71.06
KERINCI,2019,69.82
MERANGIN,2019,71.18
SAROLANGUN,2019,69.09
BATANG HARI,2019,70.44
MUARO JAMBI,2019,71.18
TANJUNG JABUNG TIMUR,2019,66.08
TANJUNG JABUNG BARAT,2019,68.03
TEBO,2019,69.91
BUNGO,2019,67.61
KOTA JAMBI,2019,72.57
KOTA SUNGAI PENUH,2019,72.01
SUMATERA SELATAN,2019,69.65
OGAN KOMERING ULU,2019,68.01
OGAN KOMERING ILIR,2019,68.41
MUARA ENIM,2019,68.63
LAHAT,2019,65.76
MUSI RAWAS,2019,67.86
MUSI BANYUASIN,2019,68.54
BANYU ASIN,2019,68.76
OGAN KOMERING ULU SELATAN,2019,66.76
OGAN KOMERING ULU TIMUR,2019,68.87
OGAN ILIR,2019,65.21
EMPAT LAWANG,2019,64.81
PENUKAL ABAB LEMATANG ILIR,2019,68.07
MUSI RAWAS UTARA,2019,65.43
KOTA PALEMBANG,2019,70.54
KOTA PRABUMULIH,2019,70.09
KOTA PAGAR ALAM,2019,66.41
KOTA LUBUKLINGGAU,2019,69.04
BENGKULU,2019,69.21
BENGKULU SELATAN,2019,67.79
REJANG LEBONG,2019,68.37
BENGKULU UTARA,2019,68.04
KAUR,2019,66.5
SELUMA,2019,67.56
MUKOMUKO,2019,66.51
LEBONG,2019,63.12
KEPAHIANG,2019,67.78
BENGKULU TENGAH,2019,68.12
KOTA BENGKULU,2019,70.04
LAMPUNG,2019,70.51
LAMPUNG BARAT,2019,67.43
TANGGAMUS,2019,68.4
LAMPUNG SELATAN,2019,69.2
LAMPUNG TIMUR,2019,70.61
LAMPUNG TENGAH,2019,69.75
LAMPUNG UTARA,2019,69.05
WAY KANAN,2019,69.27
TULANGBAWANG,2019,69.88
PESAWARAN,2019,68.88
PRINGSEWU,2019,69.85
MESUJI,2019,68.04
TULANG BAWANG BARAT,2019,69.88
PESISIR BARAT,2019,63.27
KOTA BANDAR LAMPUNG,2019,71.28
KOTA METRO,2019,71.55
KEP. BANGKA BELITUNG,2019,70.5
BANGKA,2019,70.99
BELITUNG,2019,70.94
BANGKA BARAT,2019,69.99
BANGKA TENGAH,2019,71.16
BANGKA SELATAN,2019,67.9
BELITUNG TIMUR,2019,71.9
KOTA PANGKAL PINANG,2019,73.17
KEPULAUAN RIAU,2019,69.8
KARIMUN,2019,70.71
BINTAN,2019,70.3
NATUNA,2019,64.81
LINGGA,2019,61.75
KEPULAUAN ANAMBAS,2019,67.06
KOTA BATAM,2019,73.29
KOTA TANJUNG PINANG,2019,72.02
DKI JAKARTA,2019,72.79
KEPULAUAN SERIBU,2019,68.51
KOTA JAKARTA SELATAN,2019,74.03
KOTA JAKARTA TIMUR,2019,74.37
KOTA JAKARTA PUSAT,2019,74.02
KOTA JAKARTA BARAT,2019,73.54
KOTA JAKARTA UTARA,2019,73.18
JAWA BARAT,2019,72.85
BOGOR,2019,71.01
SUKABUMI,2019,70.73
CIANJUR,2019,69.91
BANDUNG,2019,73.4
GARUT,2019,71.22
TASIKMALAYA,2019,69.21
CIAMIS,2019,71.57
KUNINGAN,2019,73.35
CIREBON,2019,71.82
MAJALENGKA,2019,69.97
SUMEDANG,2019,72.29
INDRAMAYU,2019,71.37
SUBANG,2019,72.13
PURWAKARTA,2019,70.8
KARAWANG,2019,71.98
BEKASI,2019,73.56
BANDUNG BARAT,2019,72.18
PANGANDARAN,2019,71.12
KOTA BOGOR,2019,73.41
KOTA SUKABUMI,2019,72.26
KOTA BANDUNG,2019,74.14
KOTA CIREBON,2019,72.13
KOTA BEKASI,2019,74.89
KOTA DEPOK,2019,74.31
KOTA CIMAHI,2019,73.89
KOTA TASIKMALAYA,2019,71.93
KOTA BANJAR,2019,70.79
JAWA TENGAH,2019,74.23
CILACAP,2019,73.52
BANYUMAS,2019,73.55
PURBALINGGA,2019,73.02
BANJARNEGARA,2019,74.01
KEBUMEN,2019,73.22
PURWOREJO,2019,74.52
WONOSOBO,2019,71.6
MAGELANG,2019,73.56
BOYOLALI,2019,75.83
KLATEN,2019,76.68
SUKOHARJO,2019,77.55
WONOGIRI,2019,76.07
KARANGANYAR,2019,77.38
SRAGEN,2019,75.62
GROBOGAN,2019,74.61
BLORA,2019,74.23
REMBANG,2019,74.43
PATI,2019,76.04
KUDUS,2019,76.5
JEPARA,2019,75.74
DEMAK,2019,75.31
SEMARANG,2019,75.63
TEMANGGUNG,2019,75.48
KENDAL,2019,74.33
BATANG,2019,74.59
PEKALONGAN,2019,73.57
PEMALANG,2019,73.22
TEGAL,2019,71.4
BREBES,2019,69.04
KOTA MAGELANG,2019,76.75
KOTA SURAKARTA,2019,77.12
KOTA SALATIGA,2019,77.22
KOTA SEMARANG,2019,77.25
KOTA PEKALONGAN,2019,74.28
KOTA TEGAL,2019,74.34
D I YOGYAKARTA,2019,74.92
KULON PROGO,2019,75.2
BANTUL,2019,73.77
GUNUNG KIDUL,2019,74.03
SLEMAN,2019,74.77
KOTA YOGYAKARTA,2019,74.56
JAWA TIMUR,2019,71.18
PACITAN,2019,71.77
PONOROGO,2019,72.65
TRENGGALEK,2019,73.59
TULUNGAGUNG,2019,73.95
BLITAR,2019,73.39
KEDIRI,2019,72.54
MALANG,2019,72.45
LUMAJANG,2019,69.94
JEMBER,2019,68.99
BANYUWANGI,2019,70.54
BONDOWOSO,2019,66.55
SITUBONDO,2019,68.97
PROBOLINGGO,2019,67.0
PASURUAN,2019,70.17
SIDOARJO,2019,73.98
MOJOKERTO,2019,72.43
JOMBANG,2019,72.27
NGANJUK,2019,71.44
MADIUN,2019,71.22
MAGETAN,2019,72.49
NGAWI,2019,72.16
BOJONEGORO,2019,71.36
TUBAN,2019,71.26
LAMONGAN,2019,72.27
GRESIK,2019,72.61
BANGKALAN,2019,70.11
SAMPANG,2019,67.96
PAMEKASAN,2019,67.45
SUMENEP,2019,71.22
KOTA KEDIRI,2019,73.96
KOTA BLITAR,2019,73.6
KOTA MALANG,2019,73.15
KOTA PROBOLINGGO,2019,70.19
KOTA PASURUAN,2019,71.4
KOTA MOJOKERTO,2019,73.21
KOTA MADIUN,2019,72.75
KOTA SURABAYA,2019,74.13
KOTA BATU,2019,72.54
BANTEN,2019,69.84
PANDEGLANG,2019,64.49
LEBAK,2019,67.04
TANGERANG,2019,69.79
SERANG,2019,64.47
KOTA TANGERANG,2019,71.57
KOTA CILEGON,2019,66.6
KOTA SERANG,2019,67.83
KOTA TANGERANG SELATAN,2019,72.41
BALI,2019,71.99
JEMBRANA,2019,72.21
TABANAN,2019,73.53
BADUNG,2019,74.99
GIANYAR,2019,73.56
KLUNGKUNG,2019,71.06
BANGLI,2019,70.37
KARANGASEM,2019,70.35
BULELENG,2019,71.68
KOTA DENPASAR,2019,74.68
NUSA TENGGARA BARAT,2019,66.28
LOMBOK BARAT,2019,66.64
LOMBOK TENGAH,2019,65.99
LOMBOK TIMUR,2019,65.74
SUMBAWA,2019,67.31
DOMPU,2019,66.6
BIMA,2019,66.11
SUMBAWA BARAT,2019,67.8
LOMBOK UTARA,2019,66.92
KOTA MATARAM,2019,71.59
KOTA BIMA,2019,70.2
NUSA TENGGARA TIMUR,2019,66.85
SUMBA BARAT,2019,66.98
SUMBA TIMUR,2019,64.94
KUPANG,2019,64.39
TIMOR TENGAH SELATAN,2019,66.32
TIMOR TENGAH UTARA,2019,66.86
BELU,2019,64.35
ALOR,2019,61.29
LEMBATA,2019,66.97
FLORES TIMUR,2019,65.1
SIKKA,2019,67.07
ENDE,2019,65.17
NGADA,2019,67.96
MANGGARAI,2019,66.77
ROTE NDAO,2019,64.34
MANGGARAI BARAT,2019,67.12
SUMBA TENGAH,2019,68.32
SUMBA BARAT DAYA,2019,68.43
NAGEKEO,2019,67.03
MANGGARAI TIMUR,2019,67.98
SABU RAIJUA,2019,60.23
MALAKA,2019,64.89
KOTA KUPANG,2019,69.37
KALIMANTAN BARAT,2019,70.56
SAMBAS,2019,68.83
BENGKAYANG,2019,73.67
LANDAK,2019,72.7
MEMPAWAH,2019,70.9
SANGGAU,2019,71.35
KETAPANG,2019,71.01
SINTANG,2019,71.62
KAPUAS HULU,2019,72.44
SEKADAU,2019,71.65
MELAWI,2019,72.88
KAYONG UTARA,2019,68.11
KUBU RAYA,2019,70.43
KOTA PONTIANAK,2019,72.8
KOTA SINGKAWANG,2019,71.85
KALIMANTAN TENGAH,2019,69.69
KOTAWARINGIN BARAT,2019,70.51
KOTAWARINGIN TIMUR,2019,69.8
KAPUAS,2019,68.69
BARITO SELATAN,2019,66.99
BARITO UTARA,2019,71.29
SUKAMARA,2019,71.49
LAMANDAU,2019,69.34
SERUYAN,2019,69.25
KATINGAN,2019,65.7
PULANG PISAU,2019,67.98
GUNUNG MAS,2019,70.32
BARITO TIMUR,2019,68.14
MURUNG RAYA,2019,69.47
KOTA PALANGKA RAYA,2019,73.19
KALIMANTAN SELATAN,2019,68.49
TANAH LAUT,2019,69.31
KOTABARU,2019,69.1
BANJAR,2019,66.97
BARITO KUALA,2019,65.88
TAPIN,2019,70.23
HULU SUNGAI SELATAN,2019,65.82
HULU SUNGAI TENGAH,2019,65.82
HULU SUNGAI UTARA,2019,63.58
TABALONG,2019,70.33
TANAH BUMBU,2019,70.08
BALANGAN,2019,67.59
KOTA BANJARMASIN,2019,70.98
KOTA BANJAR BARU,2019,71.87
KALIMANTAN TIMUR,2019,74.22
PASER,2019,72.52
KUTAI BARAT,2019,72.79
KUTAI KARTANEGARA,2019,72.21
KUTAI TIMUR,2019,73.03
BERAU,2019,71.94
PENAJAM PASER UTARA,2019,71.3
MAHAKAM ULU,2019,71.9
KOTA BALIKPAPAN,2019,74.41
KOTA SAMARINDA,2019,74.17
KOTA BONTANG,2019,74.18
KALIMANTAN UTARA,2019,72.54
MALINAU,2019,71.42
BULUNGAN,2019,72.6
TANA TIDUNG,2019,71.38
NUNUKAN,2019,71.3
KOTA TARAKAN,2019,73.92
SULAWESI UTARA,2019,71.58
BOLAANG MONGONDOW,2019,69.22
MINAHASA,2019,70.98
KEPULAUAN SANGIHE,2019,69.96
KEPULAUAN TALAUD,2019,70.04
MINAHASA SELATAN,2019,69.8
MINAHASA UTARA,2019,71.31
BOLAANG MONGONDOW UTARA,2019,67.54
SIAU TAGULANDANG BIARO,2019,70.54
MINAHASA TENGGARA,2019,70.07
BOLAANG MONGONDOW SELATAN,2019,64.45
BOLAANG MONGONDOW TIMUR,2019,67.81
KOTA MANADO,2019,71.8
KOTA BITUNG,2019,71.0
KOTA TOMOHON,2019,71.79
KOTA KOTAMOBAGU,2019,70.33
SULAWESI TENGAH,2019,68.23
BANGGAI KEPULAUAN,2019,65.71
BANGGAI,2019,70.61
MOROWALI,2019,68.82
POSO,2019,70.85
DONGGALA,2019,66.85
TOLI-TOLI,2019,65.3
BUOL,2019,68.17
PARIGI MOUTONG,2019,63.94
TOJO UNA-UNA,2019,65.14
SIGI,2019,69.57
BANGGAI LAUT,2019,64.79
MOROWALI UTARA,2019,69.19
KOTA PALU,2019,70.68
SULAWESI SELATAN,2019,70.43
KEPULAUAN SELAYAR,2019,68.34
BULUKUMBA,2019,67.69
BANTAENG,2019,70.42
JENEPONTO,2019,66.24
TAKALAR,2019,67.01
GOWA,2019,70.37
SINJAI,2019,67.17
MAROS,2019,68.98
PANGKAJENE DAN KEPULAUAN,2019,66.49
BARRU,2019,68.91
BONE,2019,66.88
SOPPENG,2019,69.43
WAJO,2019,67.17
SIDENRENG RAPPANG,2019,69.59
PINRANG,2019,69.39
ENREKANG,2019,70.83
LUWU,2019,70.19
TANA TORAJA,2019,73.15
LUWU UTARA,2019,68.31
LUWU TIMUR,2019,70.38
TORAJA UTARA,2019,73.35
KOTA MAKASAR,2019,72.0
KOTA PAREPARE,2019,71.18
KOTA PALOPO,2019,70.79
SULAWESI TENGGARA,2019,70.97
BUTON,2019,67.92
MUNA,2019,70.18
KONAWE,2019,70.02
KOLAKA,2019,70.72
KONAWE SELATAN,2019,70.52
BOMBANA,2019,68.54
WAKATOBI,2019,70.13
KOLAKA UTARA,2019,70.15
BUTON UTARA,2019,70.75
KONAWE UTARA,2019,69.23
KOLAKA TIMUR,2019,72.33
KONAWE KEPULAUAN,2019,68.25
MUNA BARAT,2019,70.16
BUTON TENGAH,2019,67.5
BUTON SELATAN,2019,67.5
KOTA KENDARI,2019,73.52
KOTA BAUBAU,2019,70.95
GORONTALO,2019,67.93
BOALEMO,2019,68.83
GORONTALO,2019,67.45
POHUWATO,2019,63.83
BONE BOLANGO,2019,68.38
GORONTALO UTARA,2019,65.79
KOTA GORONTALO,2019,72.42
SULAWESI BARAT,2019,64.82
MAJENE,2019,61.3
POLEWALI MANDAR,2019,62.18
MAMASA,2019,70.75
MAMUJU,2019,67.23
MAMUJU UTARA / PASANGKAYU,2019,65.91
MAMUJU TENGAH,2019,68.06
MALUKU,2019,65.82
MALUKU TENGGARA BARAT / KEPULAUAN TANIMBAR,2019,63.34
MALUKU TENGGARA,2019,64.95
MALUKU TENGAH,2019,66.34
BURU,2019,66.32
KEPULAUAN ARU,2019,62.73
SERAM BAGIAN BARAT,2019,61.48
SERAM BAGIAN TIMUR,2019,59.16
MALUKU BARAT DAYA,2019,62.16
BURU SELATAN,2019,66.13
KOTA AMBON,2019,70.35
KOTA TUAL,2019,65.21
MALUKU UTARA,2019,68.18
HALMAHERA BARAT,2019,66.13
HALMAHERA TENGAH,2019,63.65
KEPULAUAN SULA,2019,63.18
HALMAHERA SELATAN,2019,65.75
HALMAHERA UTARA,2019,69.47
HALMAHERA TIMUR,2019,68.64
PULAU MOROTAI,2019,66.99
PULAU TALIABU,2019,61.95
KOTA TERNATE,2019,70.85
KOTA TIDORE KEPULAUAN,2019,69.22
PAPUA BARAT,2019,65.9
FAKFAK,2019,68.41
KAIMANA,2019,64.64
TELUK WONDAMA,2019,59.93
TELUK BINTUNI,2019,60.6
MANOKWARI,2019,68.56
SORONG SELATAN,2019,66.15
SORONG SELATAN,2019,
SORONG,2019,66.02
SORONG,2019,
RAJA AMPAT,2019,64.7
RAJA AMPAT,2019,
TAMBRAUW,2019,59.96
TAMBRAUW,2019,
MAYBRAT,2019,65.17
MAYBRAT,2019,
MANOKWARI SELATAN,2019,67.48
PEGUNUNGAN ARFAK,2019,67.18
KOTA SORONG,2019,70.46
KOTA SORONG,2019,
PAPUA BARAT DAYA,2019,
RAJA AMPAT,2019,64.7
RAJA AMPAT,2019,
SORONG,2019,66.02
SORONG,2019,
SORONG SELATAN,2019,66.15
SORONG SELATAN,2019,
MAYBRAT,2019,65.17
MAYBRAT,2019,
TAMBRAUW,2019,59.96
TAMBRAUW,2019,
KOTA SORONG,2019,70.46
KOTA SORONG,2019,
PAPUA,2019,65.65
MERAUKE,2019,66.93
MERAUKE,2019,
JAYAWIJAYA,2019,59.39
JAYAWIJAYA,2019,
JAYAPURA,2019,66.93
NABIRE,2019,67.97
NABIRE,2019,
KEPULAUAN YAPEN,2019,69.06
BIAK NUMFOR,2019,68.2
PANIAI,2019,66.27
PANIAI,2019,
PUNCAK JAYA,2019,64.98
PUNCAK JAYA,2019,
MIMIKA,2019,72.27
MIMIKA,2019,
BOVEN DIGOEL,2019,59.64
BOVEN DIGOEL,2019,
MAPPI,2019,64.91
MAPPI,2019,
ASMAT,2019,57.53
ASMAT,2019,
YAHUKIMO,2019,65.8
YAHUKIMO,2019,
PEGUNUNGAN BINTANG,2019,64.34
PEGUNUNGAN BINTANG,2019,
TOLIKARA,2019,65.58
TOLIKARA,2019,
SARMI,2019,66.26
KEEROM,2019,66.6
WAROPEN,2019,66.24
SUPIORI,2019,65.81
MAMBERAMO RAYA,2019,57.55
NDUGA,2019,55.12
NDUGA,2019,
LANNY JAYA,2019,66.0
LANNY JAYA,2019,
MAMBERAMO TENGAH,2019,63.44
MAMBERAMO TENGAH,2019,
YALIMO,2019,65.34
YALIMO,2019,
PUNCAK,2019,65.61
PUNCAK,2019,
DOGIYAI,2019,65.6
DOGIYAI,2019,
INTAN JAYA,2019,65.51
INTAN JAYA,2019,
DEIYAI,2019,65.11
DEIYAI,2019,
KOTA JAYAPURA,2019,70.38
PAPUA SELATAN,2019,
MERAUKE,2019,66.93
MERAUKE,2019,
BOVEN DIGOEL,2019,59.64
BOVEN DIGOEL,2019,
MAPPI,2019,64.91
MAPPI,2019,
ASMAT,2019,57.53
ASMAT,2019,
PAPUA TENGAH,2019,
MIMIKA,2019,72.27
MIMIKA,2019,
DOGIYAI,2019,65.6
DOGIYAI,2019,
DEIYAI,2019,65.11
DEIYAI,2019,
NABIRE,2019,67.97
NABIRE,2019,
PANIAI,2019,66.27
PANIAI,2019,
INTAN JAYA,2019,65.51
INTAN JAYA,2019,
PUNCAK,2019,65.61
PUNCAK,2019,
PUNCAK JAYA,2019,64.98
PUNCAK JAYA,2019,
PAPUA PEGUNUNGAN,2019,
NDUGA,2019,55.12
NDUGA,2019,
JAYAWIJAYA,2019,59.39
JAYAWIJAYA,2019,
LANNY JAYA,2019,66.0
LANNY JAYA,2019,
TOLIKARA,2019,65.58
TOLIKARA,2019,
MAMBERAMO TENGAH,2019,63.44
MAMBERAMO TENGAH,2019,
YALIMO,2019,65.34
YALIMO,2019,
YAHUKIMO,2019,65.8
YAHUKIMO,2019,
PEGUNUNGAN BINTANG,2019,64.34
PEGUNUNGAN BINTANG,2019,
INDONESIA,2019,71.34
ACEH,2020,69.93
SIMEULUE,2020,65.26
ACEH SINGKIL,2020,67.39
ACEH SELATAN,2020,64.35
ACEH TENGGARA,2020,68.14
ACEH TIMUR,2020,68.72
ACEH TENGAH,2020,68.85
ACEH BARAT,2020,67.98
ACEH BESAR,2020,69.78
PIDIE,2020,66.94
BIREUEN,2020,71.22
ACEH UTARA,2020,68.8
ACEH BARAT DAYA,2020,65.0
GAYO LUES,2020,65.47
ACEH TAMIANG,2020,69.58
NAGAN RAYA,2020,69.22
ACEH JAYA,2020,67.16
BENER MERIAH,2020,69.22
PIDIE JAYA,2020,70.14
KOTA BANDA ACEH,2020,71.45
KOTA SABANG,2020,70.51
KOTA LANGSA,2020,69.42
KOTA LHOKSEUMAWE,2020,71.6
KOTA SUBULUSSALAM,2020,64.02
SUMATERA UTARA,2020,69.1
NIAS,2020,69.75
MANDAILING NATAL,2020,62.6
TAPANULI SELATAN,2020,64.91
TAPANULI TENGAH,2020,67.15
TAPANULI UTARA,2020,68.63
TOBA SAMOSIR / TOBA,2020,70.08
LABUHAN BATU,2020,69.93
ASAHAN,2020,68.26
SIMALUNGUN,2020,71.22
DAIRI,2020,69.0
KARO,2020,71.4
DELI SERDANG,2020,71.73
LANGKAT,2020,68.8
NIAS SELATAN,2020,68.74
HUMBANG HASUNDUTAN,2020,69.27
PAKPAK BHARAT,2020,65.74
SAMOSIR,2020,71.27
SERDANG BEDAGAI,2020,68.68
BATU BARA,2020,66.96
PADANG LAWAS UTARA,2020,67.17
PADANG LAWAS,2020,67.09
LABUHAN BATU SELATAN,2020,68.71
LABUHAN BATU UTARA,2020,69.46
NIAS UTARA,2020,69.43
NIAS BARAT,2020,68.96
KOTA SIBOLGA,2020,69.01
KOTA TANJUNG BALAI,2020,63.27
KOTA PEMATANG SIANTAR,2020,73.55
KOTA TEBING TINGGI,2020,70.87
KOTA MEDAN,2020,73.14
KOTA BINJAI,2020,72.38
KOTA PADANGSIDIMPUAN,2020,69.41
KOTA GUNUNGSITOLI,2020,71.19
SUMATERA BARAT,2020,69.47
KEPULAUAN MENTAWAI,2020,64.73
PESISIR SELATAN,2020,70.86
SOLOK,2020,68.58
SIJUNJUNG,2020,66.21
TANAH DATAR,2020,69.94
PADANG PARIAMAN,2020,68.79
AGAM,2020,72.37
LIMA PULUH KOTA,2020,69.79
PASAMAN,2020,67.4
SOLOK SELATAN,2020,67.81
DHARMASRAYA,2020,71.33
PASAMAN BARAT,2020,67.82
KOTA PADANG,2020,73.65
KOTA SOLOK,2020,73.61
KOTA SAWAH LUNTO,2020,70.0
KOTA PADANG PANJANG,2020,72.82
KOTA BUKITTINGGI,2020,74.38
KOTA PAYAKUMBUH,2020,73.74
KOTA PARIAMAN,2020,70.28
RIAU,2020,71.6
KUANTAN SINGINGI,2020,68.55
INDRAGIRI HULU,2020,70.25
INDRAGIRI HILIR,2020,67.85
PELALAWAN,2020,71.16
SIAK,2020,71.11
KAMPAR,2020,70.76
ROKAN HULU,2020,70.06
BENGKALIS,2020,71.2
ROKAN HILIR,2020,70.3
KEPULAUAN MERANTI,2020,67.68
KOTA PEKANBARU,2020,72.34
KOTA DUMAI,2020,70.93
JAMBI,2020,71.16
KERINCI,2020,69.93
MERANGIN,2020,71.26
SAROLANGUN,2020,69.17
BATANG HARI,2020,70.56
MUARO JAMBI,2020,71.27
TANJUNG JABUNG TIMUR,2020,66.23
TANJUNG JABUNG BARAT,2020,68.12
TEBO,2020,69.99
